G/L Account,Profit Center,Segment,Customer,Customer Name,Special G/L ind.,Document Number,Document Date,,Debtor Category,WBS Element,Sales Document,Project,Product,Invoice reference,Reference,Document Date,Purchase Order Number,Assignment,Text,Due date,Ageing,Ageing in Days,Ageing in Days,To 0 Days,1 -  30 Days,31 -  60 Days,61 -  90 Days,91 - 120 Days,> 120 Days,Total (LC),Status,Not Due,Over Due, R Note , Bill Submission (Y/N) , Warranty , Warranty Difference of TDS , PVC , Lower Rate , GST Difference , GST TDS  , LD , EMD , Others/Not identified , Income Tax @0.1% , Retention , Reconciliation with Customer , RS CR , Payment received , Differences ,Old Legacy
24110300,P62300904,LM,40164816,Central Railway,Z,1603208288,29-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,UNCLAIMED CR,31-05-2025,,1.60E+13,TDS-9072406732,31-05-2025, -   , Not Due ,Not Due,"13,675.00",0,0,0,0,0,"13,675.00",Not Due,"13,675.00",0, -   , -   , -   ,0,0,0,0, -   ,0,0,0,13675,,0,0,, -   ,No
24110070,P62300904,LM,40166902,Eastern Railway,V,1603006913,31-03-2023,,Old legacy,62OP-30691,3005732459,Eastern Railway 13x 180 KVA,180kVA Static Converter,,DR ADJUSTMENT,23-03-2023,,1.60E+13,/PC/X/P62300904,23-03-2023,800, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"1,92,715.93","1,92,715.93",Over Due,0,"1,92,715.93", -   , -   , -   ,0, -   ,0,0, -   ,0,0,0,0,,"1,92,716",0,, -   ,Yes
24110300,P62300904,LM,40193688,Central Railway,Z,174952871,17-03-2023,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2006690990,17-03-2023,,1400760712,TDS-9079608057,17-03-2023,806, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"2,600.00","2,600.00",Over Due,0,"2,600.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,2600,,0,0,, -   ,No
24110300,P62300904,LM,40193688,Central Railway,Z,174953431,06-04-2023,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,UNCLAIMED CR,30-03-2023,,1603008032,TDS-9079408945,30-03-2023,793, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"4,940.00","4,940.00",Over Due,0,"4,940.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,4940,,0,0,, -   ,No
24110070,P62300904,LM,40193688,Central Railway,V,1400760712,17-03-2023,,Old legacy,62OP-30860,3007785324,3 Nos. Provision of (2x130,2x130 KVA Static Inverter,,2006690990,17-03-2023,,1.40E+13,RETENTION-9079608057,17-03-2023,806, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"1,07,830.00","1,07,830.00",Over Due,0,"1,07,830.00", -   , -   , -   ,0, -   ,0,0, -   ,"1,07,830",0,0,0,, -   ,0,, -   ,Yes
24110070,P62300904,LM,40193688,Central Railway,V,1603010273,19-04-2023,,Overdue,62OP-30860,3007785324,3 Nos. Provision of (2x130,2x130 KVA Static Inverter,,DR ADJUSTMENT,28-03-2023,,1.60E+13,Retention   9079408945,28-03-2023,795, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"3,06,800.00","3,06,800.00",Over Due,0,"3,06,800.00","3,06,800", -   , -   ,0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110000,P62300904,LM,40193688,Central Railway,,9072403385,09-08-2024,,Overdue,62OP-30986.P.01,3008882537,2 SET 2x130 KVA Static Inverter CR,2x130 KVA Static Inverter,,HR1406002619,07-11-2024,2.72E+13,9.07E+13,,07-11-2024,205, More than 120 Days ,181-360 Days,0,0,0,0,0,"63,60,200.00","63,60,200.00",Over Due,0,"63,60,200.00", -   ,"63,60,200", -   ,0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110000,P62300904,LM,40193688,Central Railway,,9072405881,27-11-2024,,Overdue,62OP-30993.P.01,3009028574,2 SET_2X130 KVA STATIC INVERTER_CR,2X130 KVA STATIC INVERTER,,HR1406004365,25-02-2025,2.72E+13,9.07E+13,,25-02-2025,95, 90-120 Days ,91-180 Days,0,0,0,0,"63,60,200.00",0,"63,60,200.00",Over Due,0,"63,60,200.00", -   ,"63,60,200", -   ,0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110000,P62303002,LM,40069178,South Eastern Railway,,1400927754,06-03-2025,,Overdue,62OP-31024,3009289547,5x_180 KVA_SER,180kVA Static Converter,9072408186,2007730613,07-04-2025,2.52E+13,9.07E+13,,07-04-2025,54, 30-60 Days ,31-60 Days,0,0,"37,98,862.00",0,0,0,"37,98,862.00",Over Due,0,"37,98,862.00", -   , -   ,"30,68,000",730862,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
27881190,P62303002,LM,40069178,South Eastern Railway,>,1400927754,06-03-2025,,Overdue,GST TDS,GST TDS,GST TDS,GST TDS,,2007730613,06-03-2025,,1.40E+13,TDS-IGST,06-03-2025,86, 60-90 Days ,61-90 Days,0,0,0,"2,47,749.50",0,0,"2,47,749.50",Over Due,0,"2,47,749.50", -   , -   , -   ,0,0,0,0,"2,47,750",0,0,0,0,,0,0,, -   ,No
